Player,Team,batting_score,bowling_score,overall_score,Overall E(D),Season,Season_Adj,Player_team,Player_team_season,Salaries
JO Holder,Sunrisers Hyderabad,4.42,8.02,12.44,12.44,2021,2021,JO Holder|Sunrisers Hyderabad,JO Holder|Sunrisers Hyderabad|2021,105000
JR Hazlewood,Chennai Super Kings,0,-84.6,-84.6,-84.6,2021,2021,JR Hazlewood|Chennai Super Kings,JR Hazlewood|Chennai Super Kings|2021,285700
K Rabada,Delhi Capitals,6.2,-81.9,-75.7,-75.71,2021,2021,K Rabada|Delhi Capitals,K Rabada|Delhi Capitals|2021,656250
KA Pollard,Mumbai Indians,17.85,18.48,36.33,36.33,2021,2021,KA Pollard|Mumbai Indians,KA Pollard|Mumbai Indians|2021,843750
KD Karthik,Kolkata Knight Riders,16.54,0,16.54,16.54,2021,2021,KD Karthik|Kolkata Knight Riders,KD Karthik|Kolkata Knight Riders|2021,1156250
KL Rahul,Punjab Kings,25.67,0,25.67,25.67,2021,2021,KL Rahul|Punjab Kings,KL Rahul|Punjab Kings|2021,1718750
KS Williamson,Sunrisers Hyderabad,-32.25,0,-32.25,-32.25,2021,2021,KS Williamson|Sunrisers Hyderabad,KS Williamson|Sunrisers Hyderabad|2021,468750
LH Ferguson,Kolkata Knight Riders,3.26,26.52,29.78,29.78,2021,2021,LH Ferguson|Kolkata Knight Riders,LH Ferguson|Kolkata Knight Riders|2021,228600
M Prasidh Krishna,Kolkata Knight Riders,-0.57,-168.58,-169.15,-169.15,2021,2021,M Prasidh Krishna|Kolkata Knight Riders,M Prasidh Krishna|Kolkata Knight Riders|2021,15620
MA Agarwal,Punjab Kings,34.48,0,34.48,34.48,2021,2021,MA Agarwal|Punjab Kings,MA Agarwal|Punjab Kings|2021,156250
MK Pandey,Sunrisers Hyderabad,-2.26,0,-2.26,-2.26,2021,2021,MK Pandey|Sunrisers Hyderabad,MK Pandey|Sunrisers Hyderabad|2021,1718750
MM Ali,Chennai Super Kings,33.76,69.85,103.61,103.61,2021,2021,MM Ali|Chennai Super Kings,MM Ali|Chennai Super Kings|2021,1000000
Mohammed Shami,Punjab Kings,-1.31,34.89,33.58,33.59,2021,2021,Mohammed Shami|Punjab Kings,Mohammed Shami|Punjab Kings|2021,685700
Mohammed Siraj,Royal Challengers Bangalore,-1.88,106.94,105.06,105.06,2021,2021,Mohammed Siraj|Royal Challengers Bangalore,Mohammed Siraj|Royal Challengers Bangalore|2021,406250
Mustafizur Rahman,Rajasthan Royals,0.03,-140.77,-140.74,-140.74,2021,2021,Mustafizur Rahman|Rajasthan Royals,Mustafizur Rahman|Rajasthan Royals|2021,142900
N Rana,Kolkata Knight Riders,-9.92,7.64,-2.28,-2.28,2021,2021,N Rana|Kolkata Knight Riders,N Rana|Kolkata Knight Riders|2021,531250
PP Shaw,Delhi Capitals,81.36,0,81.36,81.36,2021,2021,PP Shaw|Delhi Capitals,PP Shaw|Delhi Capitals|2021,187500
Q de Kock,Mumbai Indians,-30.48,0,-30.48,-30.48,2021,2021,Q de Kock|Mumbai Indians,Q de Kock|Mumbai Indians|2021,437500
RA Jadeja,Chennai Super Kings,39.35,38.44,77.79,77.78,2021,2021,RA Jadeja|Chennai Super Kings,RA Jadeja|Chennai Super Kings|2021,1093750
RA Tripathi,Kolkata Knight Riders,31.13,0,31.13,31.13,2021,2021,RA Tripathi|Kolkata Knight Riders,RA Tripathi|Kolkata Knight Riders|2021,85700
RD Chahar,Mumbai Indians,-5.26,24.34,19.08,19.08,2021,2021,RD Chahar|Mumbai Indians,RD Chahar|Mumbai Indians|2021,296880
RD Gaikwad,Chennai Super Kings,18.62,0,18.62,18.62,2021,2021,RD Gaikwad|Chennai Super Kings,RD Gaikwad|Chennai Super Kings|2021,28600
RG Sharma,Mumbai Indians,-15.35,-3.78,-19.13,-19.13,2021,2021,RG Sharma|Mumbai Indians,RG Sharma|Mumbai Indians|2021,2343750
RR Pant,Delhi Capitals,-8.84,0,-8.84,-8.84,2021,2021,RR Pant|Delhi Capitals,RR Pant|Delhi Capitals|2021,2343750
Rashid Khan,Sunrisers Hyderabad,-8.15,112.14,103.99,103.99,2021,2021,Rashid Khan|Sunrisers Hyderabad,Rashid Khan|Sunrisers Hyderabad|2021,1406250
