name,batting_score,bowling_score,overall_score,salary,team,season
YS Chahal,0.25,322.73,322.98,16000,Royal Challengers Bangalore,2015
Yuvraj Singh,-30.11,49.11,19,2666667,Delhi Daredevils,2015
A Mishra,-13.46,271.37,257.91,15000,Delhi Daredevils,2016
A Zampa,-1.25,188.87,187.62,45000,Rising Pune Supergiants,2016
AB Dinda,0,185.44,185.44,75000,Rising Pune Supergiants,2016
AB de Villiers,150.35,0,150.35,1583333,Royal Challengers Bangalore,2016
AD Russell,226.33,-829.77,-603.44,100000,Kolkata Knight Riders,2016
AJ Finch,-10.88,0,-10.88,150000,Gujarat Lions,2016
AM Rahane,-37.95,0,-37.95,1333333,Rising Pune Supergiants,2016
AR Patel,289.76,-1135.28,-845.52,125000,Kings XI Punjab,2016
B Kumar,10.29,558.7,568.99,708000,Sunrisers Hyderabad,2016
BB McCullum,12.61,0,12.61,541000,Gujarat Lions,2016
BB Sran,0.18,321.82,322,180000,Sunrisers Hyderabad,2016
CH Gayle,14.2,118.12,132.32,1400000,Royal Challengers Bangalore,2016
CH Morris,52.82,416.67,469.49,1050000,Delhi Daredevils,2016
DA Warner,73.09,0,73.09,916000,Sunrisers Hyderabad,2016
DJ Bravo,-10.75,280.97,270.22,666667,Gujarat Lions,2016
DR Smith,45.22,115.66,160.88,345000,Gujarat Lions,2016
DS Kulkarni,8.31,486.82,495.13,300000,Gujarat Lions,2016
F du Plessis,-12.54,0,-12.54,791000,Rising Pune Supergiants,2016
G Gambhir,458.53,0,458.53,1666667,Kolkata Knight Riders,2016
JC Buttler,9.56,0,9.56,570000,Mumbai Indians,2016
JJ Bumrah,0.97,407.6,408.57,200000,Mumbai Indians,2016
KA Pollard,14.57,-39.47,-24.9,900000,Mumbai Indians,2016
KD Karthik,-19.35,0,-19.35,345000,Gujarat Lions,2016
KH Pandya,72.16,284.76,356.92,300000,Mumbai Indians,2016
KK Nair,-36.11,0,-36.11,600000,Delhi Daredevils,2016
KL Rahul,37.46,0,37.46,166000,Royal Challengers Bangalore,2016
M Morkel,0.04,-899.59,-899.55,466000,Kolkata Knight Riders,2016
M Vijay,166.02,3.04,169.06,500000,Kings XI Punjab,2016
MC Henriques,-27.49,282.17,254.68,166000,Sunrisers Hyderabad,2016
MJ McClenaghan,12.01,326.6,338.61,50000,Mumbai Indians,2016
MK Pandey,1.38,0,1.38,283000,Kolkata Knight Riders,2016
MM Sharma,41.94,-1762.72,-1720.78,975000,Kings XI Punjab,2016
MS Dhoni,-1.7,0,-1.7,2083333,Rising Pune Supergiants,2016
Mustafizur Rahman,0,662.53,662.53,210000,Sunrisers Hyderabad,2016
PP Chawla,-6.75,-544.61,-551.36,708000,Kolkata Knight Riders,2016
Q de Kock,-10.04,0,-10.04,583000,Delhi Daredevils,2016
R Ashwin,-6.39,451.46,445.07,1250000,Rising Pune Supergiants,2016
RG Sharma,-8.87,0,-8.87,1916667,Mumbai Indians,2016
RV Uthappa,440.66,0,440.66,833000,Kolkata Knight Riders,2016
S Dhawan,-46.73,0,-46.73,2083333,Sunrisers Hyderabad,2016
SK Raina,-16.09,41.21,25.12,1583333,Gujarat Lions,2016
SP Narine,-9.36,430.47,421.11,700000,Kolkata Knight Riders,2016
SPD Smith,32.06,0,32.06,666000,Rising Pune Supergiants,2016
SR Watson,3.68,338.56,342.24,1425000,Royal Challengers Bangalore,2016
SV Samson,-52.96,0,-52.96,630000,Delhi Daredevils,2016
Sandeep Sharma,11.13,-937.97,-926.84,141000,Kings XI Punjab,2016
UT Yadav,1.99,-1181.79,-1179.8,433000,Kolkata Knight Riders,2016
V Kohli,153.9,-2.4,151.5,2500000,Royal Challengers Bangalore,2016
WP Saha,261.26,0,261.26,366000,Kings XI Punjab,2016
YK Pathan,349.52,63.85,413.37,541000,Kolkata Knight Riders,2016
YS Chahal,0,338.62,338.62,16000,Royal Challengers Bangalore,2016
Yuvraj Singh,-1.53,27.65,26.12,1050000,Sunrisers Hyderabad,2016
Z Khan,-2.31,386.06,383.75,666667,Delhi Daredevils,2016
A Mishra,37.01,-1176.57,-1139.56,15000,Delhi Daredevils,2017
AB de Villiers,-12.14,0,-12.14,1583333,Royal Challengers Bangalore,2017
AJ Finch,511.64,0,511.64,150000,Gujarat Lions,2017
